title,year,audio_languages,audio_quality,subtitle_languages,encoding,imdb_link,imdb_id
"Shawshank Redemption, The",1994,,,,,https://www.imdb.com/title/tt0111161/,111161
"Godfather, The",1972,,,,,https://www.imdb.com/title/tt0068646/,68646
"Godfather: Part II, The",1974,,,,,https://www.imdb.com/title/tt0071562/,71562
"Dark Knight, The",2008,,,,,https://www.imdb.com/title/tt0468569/,468569
12 Angry Men,1957,,,,,https://www.imdb.com/title/tt0050083/,50083
Schindler's List,1993,,,,,https://www.imdb.com/title/tt0108052/,108052
"Lord of the Rings: The Return of the King, The",2003,,,,,https://www.imdb.com/title/tt0167260/,167260
Pulp Fiction,1994,,,,,https://www.imdb.com/title/tt0110912/,110912
"Good, the Bad and the Ugly, The",1966,,,,,https://www.imdb.com/title/tt0060196/,60196
"Lord of the Rings: The Fellowship of the Ring, The",2001,,,,,https://www.imdb.com/title/tt0120737/,120737
Fight Club,1999,,,,,https://www.imdb.com/title/tt0137523/,137523
Forrest Gump,1994,,,,,https://www.imdb.com/title/tt0109830/,109830
Inception,2010,,,,,https://www.imdb.com/title/tt1375666/,1375666
"Lord of the Rings: The Two Towers, The",2002,,,,,https://www.imdb.com/title/tt0167261/,167261
Star Wars: Episode V - The Empire Strikes Back,1980,,,,,https://www.imdb.com/title/tt0080684/,80684
"Matrix, The",1999,,,,,https://www.imdb.com/title/tt0133093/,133093
Goodfellas,1990,,,,,https://www.imdb.com/title/tt0099685/,99685
One Flew Over the Cuckoo's Nest,1975,,,,,https://www.imdb.com/title/tt0073486/,73486
Seven Samurai,1954,,,,,https://www.imdb.com/title/tt0047478/,47478
Se7en,1995,,,,,https://www.imdb.com/title/tt0114369/,114369
"Silence of the Lambs, The",1991,,,,,https://www.imdb.com/title/tt0102926/,102926
City of God,2002,,,,,https://www.imdb.com/title/tt0317248/,317248
Life Is Beautiful,1997,,,,,https://www.imdb.com/title/tt0118799/,118799
It's a Wonderful Life,1946,,,,,https://www.imdb.com/title/tt0038650/,38650
Spider-Man: No Way Home,2021,,,,,https://www.imdb.com/title/tt10872600/,10872600
Saving Private Ryan,1998,,,,,https://www.imdb.com/title/tt0120815/,120815
Star Wars: Episode IV - A New Hope,1977,,,,,https://www.imdb.com/title/tt0076759/,76759
Interstellar,2014,,,,,https://www.imdb.com/title/tt0816692/,816692
